Algorithm,Input Size,Execution Time
Bubble Sort,1000,0.048572540283203125
Bubble Sort,2000,0.19568467140197754
Bubble Sort,3000,0.44754624366760254
Bubble Sort,4000,0.8096184730529785
Bubble Sort,5000,1.3150112628936768
Heap Sort,1000,0.002000093460083008
Heap Sort,2000,0.0045697689056396484
Heap Sort,3000,0.008254528045654297
Heap Sort,4000,0.01051783561706543
Heap Sort,5000,0.014024734497070312
Insertion Sort,1000,0.024034738540649414
Insertion Sort,2000,0.09271574020385742
Insertion Sort,3000,0.21557998657226562
Insertion Sort,4000,0.3754289150238037
Insertion Sort,5000,0.5825252532958984
Merge Sort,1000,0.002000093460083008
Merge Sort,2000,0.0046193599700927734
Merge Sort,3000,0.006505727767944336
Merge Sort,4000,0.00850677490234375
Merge Sort,5000,0.010955095291137695
Quick Sort,1000,0.0010006427764892578
Quick Sort,2000,0.00385284423828125
Quick Sort,3000,0.002999544143676758
Quick Sort,4000,0.0045125484466552734
Quick Sort,5000,0.0055043697357177734
Selection Sort,1000,0.0203857421875
Selection Sort,2000,0.07871437072753906
Selection Sort,3000,0.17577767372131348
Selection Sort,4000,0.3138871192932129
Selection Sort,5000,0.5333337783813477
BFS,1000,0.0010008811950683594
BFS,2000,0.002001047134399414
BFS,3000,0.005002260208129883
BFS,4000,0.0070514678955078125
BFS,5000,0.01008749008178711
Binary Search,1000,4.0000013541430235e-06
Binary Search,2000,2.6999987312592566e-06
Binary Search,3000,2.2000021999701858e-06
Binary Search,4000,2.1000014385208488e-06
Binary Search,5000,2.0000006770715117e-06
DFS,100,1.9239999528508633e-05
DFS,200,4.459999909158796e-05
DFS,300,7.304000100702979e-05
DFS,400,0.00020992000063415616
DFS,500,0.00011687999940477312
